0.8439	h2oloo.fs4+monot5_rg4o.rag24.test_top100
0.8199	WaterlooClarke.uwc1
0.8037	h2oloo.fs4+monot5_listgalore.rag24.test_top100
0.7971	WaterlooClarke.uwc2
0.7933	WaterlooClarke.monster
0.7912	h2oloo.fs4+monot5_rl31-70b.rag24.test_top100
0.7707	webis.webis-01
0.7534	coordinators.fs4+monot5_rz.rag24.test_top100
0.7513	webis.webis-03
0.7464	webis.webis-04
0.7456	webis.webis-05
0.7275	coordinators.fs4_bm25+rocchio_snowael_snowaem_gtel+monot5_rrf+rz_rrf.rag24.test
0.7236	ielab.ielab-blender-llama70b-filtered
0.7202	ielab.ielab-blender-llama70b-external-only
0.7169	WaterlooClarke.uwcCQAR
0.7156	IITD-IRL.zeph_test_rag_rrf_expand_Rtask
0.7152	IITD-IRL.zeph_test_rag_rrf_raw_query_Rtrack
0.7130	grilllab.grill_fine_grained_rel_2_full_doc_cohere
0.7126	ldisnu.ldilab_repllama_listt5_pass1
0.7123	ldisnu.ldilab_repllama_listt5_pass3
0.7119	ldisnu.ldilab_repllama_listt5_pass4
0.7108	ldisnu.ldilab_repllama_listt5_pass2
0.7075	IITD-IRL.zeph_test_rag24_doc_query_expansion+rrf_Rtask
0.7036	grilllab.grill_fine_grained_rel_2_summaries_rrf_bm25_cohere
0.7017	grilllab.grill_fine_grained_rel_2_summaries_cohere
0.7016	coordinators.fs4+monot5.rag24.test_top100
0.6863	vole-run
0.6841	neu.neurerank
0.6811	ielab.ielab-blender-llama70b-internal-only
0.6806	WaterlooClarke.uwcCQR
0.6779	InfoLab.UDInfolab.bge.query
0.6765	WaterlooClarke.uwcCQA
0.6732	grilllab.grill_fine_grained_rel_2_full_doc
0.6728	grilllab.grill_fine_grained_summaries
0.6686	ielab.ielab-blender-llama70b
0.6664	InfoLab.UDInfolab.bge.AnsAi
0.6652	citi.ASCITI_co_gpt
0.6632	KML.sim_and_rerank_200_docs
0.6603	KML.sim_and_rerank_v1
0.6603	citi.ASCITI_co_co
0.6596	ielab.ielab-blender-llama8b
0.6478	IITD-IRL.test.rag24.rrf.expanded.BM25.MiniLM
0.6469	InfoLab.UDInfolab.bge.ranker
0.6468	IITD-IRL.test.rag24.rrf.raw.query.MiniLM+BM25
0.6446	ielab.ielab-blender-llama8b-filtered
0.6429	IITD-IRL.test.rag24.no.rrf.no.expansion
0.6400	neu.neu
0.6378	ncsu-las.LAS_ENN_T5_RERANKED_MXBAI
0.6367	WaterlooClarke.uwc0
0.6295	ncsu-las.LAS-splade-mxbai
0.6207	ielab.ielab-bm25-stella-hybrid
0.6178	TLSE3.SPLADE+Gemini
0.6177	WaterlooClarke.uwcCQ
0.6119	citi.ASCITI_co_bge
0.5993	IRIT.ISIR-IRIT-GEN
0.5936	ncsu-las.LAS-splade-mxbai-rrf
0.5833	InfoLab.UDInfolab.bge
0.5515	TLSE3.SpladeV3_only
0.5485	ncsu-las.LAS_enn_t5
0.5440	ncsu-las.LAS_ann_t5_qdrant
0.5299	webis.webis-02
0.5276	IRIT.ISIR-IRIT-Vanilla
0.5227	softbank-meisei.rtask-bm25-rank_zephyr
0.4870	SGU.qdrant_bge_small
0.4782	softbank-meisei.rtask-bm25-colbert_faiss
0.4622	buw.weaviate_dense_base
0.4581	WaterlooClarke.uwcBA
0.4066	IIIA-UNIPD.iiia_standard
0.3805	TLSE3.SPLADE+BGEv2m3
0.3583	WaterlooClarke.uwcBQ
0.3565	coordinators.anserini_bm25+rocchio.rag24.test_top100
0.3548	coordinators.anserini_bm25.rag24.test_top100
0.3511	InfoLab.UDInfolab.bm25.ro
0.3491	InfoLab.UDInfolab.bm25.ro.tuned
0.3438	InfoLab.UDInfolab.bm25
0.3415	TLSE3.SPLADE+Jina
0.2384	IIIA-UNIPD.iiia_dedup
0.0000	buw.dense_on_sparse
